CountermeasureID,Countermeasure,Key Stakeholder,Benefit-cost ratio,CMF1,CMF1 Link,Sev1,AreaType1,CrashType1,StarRating1,CMF2,CMF2 Link,Sev2,AreaType2,CrashType2,StarRating2,Short Description,Countermeasure 1,Countermeasure 2,Countermeasure 3,How and where to apply,Use in a Safe System Approach,Proactive Implementation,Emphasis area,Target Crash,Contributing Factors,SSA Pillars,SSA Hierarchy,AASHTO,NCHRP 500 Series Objective,N500St,Road Type,Service Life,Cost,Countermeasure Staus_OnlyforTool,Keyword_OnlyForTool
treat022,Add 3-inch yellow retroreflective sheeting to signal backplates,"State DOTs, MPOs, engineering consultants, traffic engineers, active road users.",10:01,0.85,CMF1410,All,Urban,All,4,0.85,CMF1410,All,Urban,All,4,"Backplates with yellow retroreflective borders enhance traffic signal visibility in all lighting conditions, aiding driver recognition and safety, especially during power outages.","High-visibility signal heads
","Advance warning flashers
",Apply Advance Intersection Warning Signs,"1. Install backplates with retroreflective borders at signalized intersections with high crash rates, poor visibility, complex backgrounds, or high volumes of older drivers or nighttime traffic.
2. Mount backplates directly behind signal heads, ensuring a 1-3 inch yellow retroreflective border per MUTCD guidelines, with proper alignment to maintain visibility and contrast against the surrounding environment. 3. Not recommended where signals are rarely used, visibility is already sufficient, or added sheeting offers minimal safety improvement.","Retroreflective signal backplates enhance visibility, reduce severe conflicts, support shared responsibility, address human mistakes, and provide proactive, redundant safety by improving signal recognition for all road users.","Proactive implementation involves identifying signalized intersections with visibility concerns, high nighttime crash rates, or frequent power outages. Traffic engineers should prioritize locations where improved signal conspicuity can enhance safety, especially for older drivers or in visually cluttered environments. Installing retroreflective backplates in advance of crash patterns strengthens intersection safety before problems escalate.",Intersection,"Angle, Rear-end, Turning","Reduced visibility, Driver inattention/distraction",Safe Roads,Tier 4: Increase attentiveness and awareness,Safer Infrastructure,Improve Sight Distance and/or Visibility Between Motor Vehicles and Pedestrians,Improve Reflectorization/Conspicuity of Pedestrians ,Not specified,10,Low,Current,Signal visibility; nighttime driving; visual enhancement; intersection alert
treat023,Install dynamic signal warning flashers,"State DOT, Local Government, MPOs, Engineering Consultants, Construction Contractors, Safety Advocacy Groups",143:01:00,0.82,CMF4201,KABC,All,All,4,0.792,CMF4199,All,All,Rear end,4,Dynamic signal warning flashers are active warning devices placed in advance of signalized intersections that flash when the signal ahead is red or about to change.,"Install Dual Red Signal Lenses
","Install Intersection Lighting
",Advance Street Name Signs and Directional Signing,"1.This countermeasure is used on high-speed arterial roads or rural highways approaching signalized intersections.
2.Most effective where signal visibility is limited by curves, grades, weather, or where crash history shows frequent rear-end or signal violations.
3.Dynamic flashers should be placed at a calculated distance upstream of the intersection to allow sufficient deceleration time based on approach speed, and are not recommended at low-speed or highly visible intersections.","Support the Safe Speeds and Safe Roads elements of SSA by adding redundancy and predictability. Advance signal warnings help manage driver speed and accommodate mistakes, reinforcing that death and serious injuries are unacceptable.","Dynamic signal warning flashers can be implemented proactively based on systemic risk analysis, speed studies, or crash patterns near signalized intersections on high-speed corridors. They can also be added during signal upgrades or corridor ITS projects.",Intersection,"Angle, Rear-end, Turning","Signal non-compliance, Reduced visibility, Driver inattention",Safe Roads,Tier 4: Increase attentiveness and awareness,Safer Infrastructure,Improve driver awareness of intersections and signal control,Improve visibility of intersections on approach(es) ,Not Specified,10,Moderate,Current,Flashing warning; advance alert; signal visibility; speed reduction
treat024,Implement systemic signing and visibility improvements at signalized intersections,"State DOT, Local Government, MPOs, Engineering Consultants, Construction Contractors, Safety Advocacy Groups",N/A,0.756,CMF8948,KABC,All,All,4,0.746,CMF8968,KABC,All,All,3,"Systemic signing and visibility improvements enhance intersection safety using low-cost, network-wide upgrades to signage, signals, markings, and lighting.","High-Visibility Signal Backplates
","Lighting Improvements at Intersections
",Speed limit reduction campaigns,"1.Implement systemic upgrades like  larger signs, high-visibility signal backplates, and improved lighting across multiple intersections based on network-wide crash patterns, not just individual sites.
2.Apply at high-crash intersections, corridors with poor visibility, urban areas, and during resurfacing or routine signal upgrades.
3.The FHWA states that improving the visibility of traffic control devices is a proven safety countermeasure that reduces crashes and improves compliance, though benefits may be limited where visibility is already good or volumes are low. ",Systemic signing and visibility improvements support the Safe Roads and Safe Road Users elements of SSA by enhancing visibility and redundancy. They help accommodate mistakes and reinforce that death and serious injuries are unacceptable.,"Proactive implementation involves using systemic safety analysis to identify high-risk intersections before crashes occur. Agencies apply improvements such as enhanced signage, lighting, and signal visibility across networks based on patterns of risk, not just crash history. This forward-looking approach ensures broader safety coverage and optimizes resources by addressing potential hazards early.",Intersection,"Angle, Rear-end, Turning","Reduced visibility, Failure to yield, Driver inattentive/distraction",Safe Roads,Tier 4: Increase attentiveness and awareness,Safer Infrastructure,Improve driver awareness of intersections and signal control.,Improve visibility of signals and signs at intersections ,All,15,Low,Current,Systemic safety; signalized intersections; visibility improvement; signage enhancement; risk-based approach; proactive treatment
treat025,Implement automated speed enforcement cameras,"State DOTs, law enforcement agencies, MPOs, judicial authorities, engineering consultants. ",4:01,0.851,CMF11486,KA,Urban,All,4,0.654,CMF10654,KABC,All,All,4,"Automated Speed Enforcement (ASE) cameras are systems that detect speeding vehicles and capture photographic evidence to support consistent, automated speed limit enforcement.","Dynamic speed feedback signs
","Enhanced police enforcement operations
",Speed limit re-evaluation and public awareness initiatives,"1.ASE cameras are used where speeding is frequent and traditional enforcement is challenging. 
2.Ideal for school zones, work zones, high-crash corridors, and urban arterials. Not recommended on low-volume local streets, areas without speeding issues, or where engineering solutions are more appropriate.
3.Can be deployed as fixed, mobile, or Point-to-Point systems based on site needs. Effective in both visible and covert operations to maximize speed compliance.","ASE cameras support the Safe Speeds element of SSA by enforcing limits consistently and reducing speeding. By accommodating human mistakes and deterring risky behavior, they uphold the principle that death and serious injuries are unacceptable.","ASE cameras can be implemented proactively in areas with documented speeding issues. Agencies may select locations using speed studies, crash data analysis, or community-reported concerns. A systemic approach can also be used to identify corridors with risk factors such as high pedestrian activity, limited enforcement visibility, or a history of speed-related crashes.",Speeding,Speeding,"Unsafe speed, Aggressive driving behaviors",Safe Speeds,Tier 4: Increase attentiveness and awareness,Improved Safety Management,Improve efficiency and effectiveness of speed enforcement efforts,Implement automated speed enforcement ,"Principal Arterial, Freeways, Expressways",15,Moderate to High,Proven,Speed compliance; crash deterrence; automated enforcement; behavior change
treat026m,Install automated section speed enforcement system,"State DOTs, MPOs, law enforcement agencies, engineering consultants.",xx,0.44,CMF 4142,KA,All,All,4,0.632,CMF 7718,KABC,Urban,All,5,"By monitoring vehicle speeds over a segment and automatically capturing violations, section speed enforcement ensures consistent, objective compliance with speed limits without on-site officers.","Real-time driver speed display systems
","Targeted high-visibility speed enforcement
",Community speed limit change initiatives,"1. Effective in locations with persistent speeding problems or where traditional enforcement is limited or impractical.
2. Common applications include school zones, construction areas, high-crash corridors, and urban arterials. 
3. Deployment options include fixed units, mobile systems, or point-to-point configurations, depending on site needs, but are not suitable for low-volume roads or locations where enforcement is impractical.","It supports the Safe Speeds element of the Safe System Approach by enforcing limits consistently and deterring risky driving. By accommodating human mistakes and reducing crash severity, they reinforce the principle that death and serious injuries are unacceptable.","Speed enforcement systems can be proactively deployed in areas with known speeding problems. Agencies may identify sites through speed studies, crash data, or community input, and a systemic approach may target corridors with risk indicators such as high pedestrian volumes, low enforcement visibility, or a history of speed-related crashes.",Speeding,Speeding,"Unsafe speed, Aggressive driving behaviors",Safe Speeds,Tier 2: Reduce Vehicle Speeds,Improved Safety Management,Improve efficiency and effectiveness of speed enforcement efforts,Increase penalties for repeat and excessive speeding offenders ,"Principal Arterial, Freeways and Expressways",10,Moderate to High,Current,Automated enforcement; speed compliance; tangents; system-based control
treat029,Install automated speed camera at signalized intersection,"State DOTs, MPOs, law enforcement agencies, consultants, advocacy groups.",xx,0.68,CMF6882,KABC,Urban,All,4,0.76,CMF4673,ABC,All,Speed related ,3,Automated speed cameras installed at signalized intersections improve safety and help enforce speed limits.,"Red-light running cameras
","High-visibility signal heads and backplates
",Roadside hazard removal,"1.Install automated speed enforcement cameras at signalized intersections with a documented history of speeding-related crashes.
2.These systems detect speeding vehicles and issue citations by mail, providing continuous and unbiased enforcement.
3.Best for multilane intersections with high pedestrian activity or crash clusters; not for low-volume rural sites, non-speeding areas, or where costs outweigh benefits.","Automated speed cameras strengthen the Safe Speeds element of the Safe System Approach by ensuring continuous compliance. By addressing unsafe speed at high-risk locations, they help reduce crash frequency and severity, supporting the principle that deaths and serious injuries are unacceptable.  ","Use crash and speed data to identify intersections with excessive speeds or repeated violations. Prioritize locations with vulnerable road users (e.g., near schools or transit hubs) or high crash severity. Combine deployment with visible signage and community education campaigns to increase compliance and public support.",Speeding,Speeding,Drivers disregarding traffic signals,Safe Speeds,Tier 4: Increase attentiveness and awareness,Improved Safety management,Improve efficiency and effectiveness of speed enforcement efforts,Implement automated speed enforcement ,Not specified,10,Moderate to High,Proven,Signal enforcement; red-light compliance; speed monitoring; crash deterrent
treat031,Install rectangular rapid flashing beacon (RRFB),"State DOTs, MPOs, Advocacy Groups, Engineering Consultants Community Associations, Active Road Users.",6.5:1+E23:Q23,0.3,CMF11168,KABC,All,Pedestrian,4,0.27,CMF11169,ABC,All,Pedestrian,4,Rectangular Rapid Flashing Beacons (RRFBs) are user-activated amber LED lights that flash in a rectangular pattern to alert drivers to the presence of pedestrians at unsignalized crossings.,"Install Pedestrian Hybrid Beacons
","Add pedestrian refuge islands
",Gateway treatments,"1.RRFBs are ideal for mid-block crossings or uncontrolled intersections with moderate to high pedestrian activity.
2.Install at marked crosswalks with visibility or yielding concerns; not suitable for low pedestrian volumes, signalized intersections, or unmarked crossings.
3.According to FHWA guidelines, they must comply with MUTCD interim approval and can be paired with high-visibility crosswalk markings and signage.","RRFBs strengthen the Safe Roads and Safe Road Users elements of the Safe System Approach by increasing driver awareness and encouraging yielding. By providing clear, timely cues, they help prevent pedestrian crashes and support the principle that deaths and serious injuries are unacceptable","Agencies can identify high-risk pedestrian crossings using crash data, speed profiles, and land use factors (e.g., near schools, transit stops, or retail areas). RRFBs can be deployed systemically as a proactive low-cost pedestrian safety enhancement, especially in urban corridors or where traditional signals are not warranted.",Pedestrian and Bicyclists,Crossing-related,Risky crossing behavior,Safe Road Users,Tier 4: Increase attentiveness and awareness,Safer Vulnerable Users,Reduce Pedestrian Exposure to Vehicular Traffic,Install or Upgrade Traffic and Pedestrian Signals,Not specified,10,Moderate to High,Current,RRFB; pedestrian crossing; flashing alert; driver yield compliance; crosswalk visibility; low-cost beacon
treat032,Conversion of signalized intersection into single- or multi-lane roundabout,"State DOTs, MPOs, engineering consultants, construction contractors.",1:01,0.26,CMF212,ABC,Urban,All,4,0.29,CMF4195,ABC,Urban,All,3,Convert signalized intersections to roundabouts to reduce severe crashes and improve flow at high-crash or congested locations.,"High-visibility signage and lighting 
",Access Management ,Automated speed enforcement cameras,"1.Suitable for both urban and rural areas under various traffic conditions 
2.Useful for speed management and transitions at interchanges or high-speed rural roads. Not suitable for low-volume sites, constrained geometry, or limited right-of-way. 
3.MUTCD recognizes roundabouts as a proven safety countermeasure, supported by proper signage, markings, and geometric design.","Roundabouts strengthen the Safe Roads and Safe Speeds elements of the Safe System Approach by lowering vehicle speeds, reducing conflict points, and adjusting impact angles. By limiting exposure for pedestrians and improving crash survivability, they support the principle that deaths and serious injuries are unacceptable","Identify high-crash signalized intersections or locations with delay and speed issues, especially near schools, interchanges, or rural highways, and evaluate their suitability for roundabout conversion based on traffic volume, geometry, and crash history before problems escalate.",Intersection,"Angle, Rear-end, Turning","Reduced visibility, Failure to yield",Safe Roads,Tier 1: Remove severe conflicts,Safer Infrastructure,Reduce frequency and severity of intersection conflicts through geometric improvements,Construct special solutions ,Not specified,20,High,Proven,Roundabout; eliminate crossing conflicts; reduce crash severity; improve flow
treat033,Install red-light cameras,"State DOTs, MPOs, advocacy groups, law enforcement agencies, engineering consultants. ",2.61:1,0.83,CMF3861,K,Urban,All,3,0.518,CMF8091,KABC,All,All,4,Installing red-light cameras helps reduce angle and rear-end crashes by deterring red-light running through automated enforcement.,"Advance warning flashers
","Retroreflective sheeting on signposts
",Rumble strips on approaches,"1.Install at signalized intersections with frequent red-light violations or right-angle crashes, especially in high-traffic urban corridors or near schools; not suitable for low-volume rural sites or where violations are not documented.
2.Install cameras aligned with signals, ensuring authority and required warning signs.
3.MUTCD requires automated enforcement like red-light cameras to have proper driver notification signage and comply with state and local laws.","Red-light cameras strengthen the Safe Speeds and Safe Road Users elements of the Safe System Approach by enforcing compliance and reducing risky behaviors. By lowering the severity of intersection crashes, they support the principle that deaths and serious injuries are unacceptable",Red-light cameras should be proactively installed at intersections with growing red-light violation trends or a history of angle crashes. Data-driven site selection helps prevent severe crashes by deterring risky driving behaviors before they escalate.,Speeding,"Angle, Rear-end",Speeding through intersections,Safe Roads,Tier 4: Increase attentiveness and awareness,Improved Safety Management,Improve efficiency and effectiveness of speed enforcement efforts,Implement automated speed enforcement ,Not specified,10,Moderate to High,Proven,Automated enforcement; deter red-light running; intersection safety; behavior change
treat034,Provide flashing beacons at stop controlled intersections,"State DOTs, MPOs, law enforcement agencies, consultants, active road users, advocacy groups.",2:01,0.9,CMF447,ABC,All,All,4,0.42,CMF456,All,All,Angle ,4,"A pedestrian safety device with flashing yellow LEDs that activate at marked, uncontrolled crosswalks to alert drivers and improve pedestrian visibility.","LED-enhanced stop signs
","Advance stop sign warning signs
",Enhanced Curve Delineation,"1. Install at uncontrolled, marked crosswalks on multilane roads or locations with high pedestrian activity and insufficient gaps in traffic, as recommended by FHWA guidance.
2. Mount RRFBs on both sides of the roadway, aligned with the crosswalk and pedestrian signs, with activation via push button or passive detection, ensuring visibility and compliance
3. The MUTCD requires that must follow Interim Approval IA-21, including placement with pedestrian signs, yellow LED lights, and push-button or automated activation.","Flashing beacons at stop-controlled intersections align with the Safe System strategy by enhancing driver awareness, and reducing stop sign violations through better visibility and speed management.","Flashing beacons should be proactively installed at stop-controlled intersections where limited visibility, high approach speeds, or increasing crash trends indicate a need for enhanced driver alertness. Selection of appropriate sites should be based on detailed analysis of crash history, approach volumes, sight distance limitations, and field conditions to ensure the beacons effectively reduce the risk of stop sign violations and collisions.",Pedestrian and Bicyclists,"Angle, Rear-end, Turning","Reduced visibility, driver inattention, failure to stop or yield",Safe Roads,Tier 4: Increase attentiveness and awareness,Improved Safety Management,Reduce Pedestrian Exposure to Vehicular Traffic,Install or Upgrade Traffic and Pedestrian Signals,Not Specified,10,Moderate to High,Current,Intersection visibility; driver alertness; enhance stop compliance; nighttime warning
treat035m,Install Centerline Rumble Strips,"State DOTs, MPOs, engineering consultants, construction contractors, advocacy groups.",75:01:00,0.558,CMF7249,K,Rural,Angle,3,0.36,CMF3356,KABC,Urban,Head on,4,Centerline rumble strips on straight sections of undivided highways alert drivers who unintentionally drift due to distraction or drowsiness.,Shoulder Rumble Strips,Install Rectangular Shaped Rumble Strips,Install Football-Shaped Rumble Strips,"1. Install centerline rumble strips on straight, undivided rural highways to reduce head-on, sideswipe, and run-off-road crashes from inattention. Not suitable for urban areas, multilane divided roads, or noise-sensitive segments.
2. Centerline rumble strips are milled into pavement to warn drifting drivers through tactile vibration and audible noise.
3. FHWA identifies centerline rumble strips as a proven countermeasure to reduce head-on and opposite-direction sideswipe crashes on two-lane rural roads","Centerline rumble strips support Safe Roads and Safe Road Users by providing tactile and audible cues that help drivers correct lane departures early, reducing head-on and sideswipe crashes and reinforcing the Safe System Approach principle that mistakes should not cause serious injury.","For center line applications, milled rumble strips are preferred for their effectiveness and ease of installation. The recommended dimensions (7"" wide, 16"" long, 0.5"" deep) provide optimal noise and vibration. Since center line strips produce more in-vehicle noise than shoulder strips, they can be effective at shallower depths.",Roadway Departure,"Single Vehicle, Head-on, Sideswipe","Reduced visibility, Driver inattention/distraction",Safe Roads,Tier 4: Increase attentiveness and awareness,Safer Infrastructure,Keep vehicles from encroaching on the roadside,Install centerline rumble strips,Principle Arterial Other,10,Low,Current,Centerline rumble strips; rumble strips; stripes; keep vehicle in lane; remove distraction
treat037,Convert 2 lane roadway to 4 lane divided roadway,"State DOTs, MPOs, engineering consultants, construction contractors, transit agencies, freight/trucking associations, community associations.",1.75:1,0.367,CMF7568,KABC,Urban,All,4,0.549,CMF7571,KABC,Rural,All,4,"Expanding and dividing roadways aims to increase capacity and reduce cross-traffic conflicts, potentially improving safety and flow.","Installation of centerline or median barriers
","Addition of dedicated turn lanes
",Road diets with multimodal features,"1. This treatment is best suited for roadways with high traffic volumes, limited passing opportunities, and history of head-on or ROR crashes.
2. A divided roadway physically separates travel directions, eliminates the need for risky overtaking, and provides space for left-turn lanes or recovery in the event of driver error.
3. Best implemented during major reconstruction or corridor upgrades where traffic growth and crash history show safety needs; not suitable for low-volume rural roads without justification for expansion.","This countermeasure directly aligns with SSA principles by designing roads to reduce conflict points and the consequences of driver error. Divided roadways eliminate direct opposing traffic exposure, and provide room for error recovery, ultimately reducing both crash frequency and severity.","Agencies should identify corridors where traffic volumes, crash histories, and overtaking-related collisions suggest a need for divided roadways. Implementation can be prioritized through safety audits and regional transportation planning. Conversions can be phased or integrated into resurfacing, realignment, or development-driven roadway expansion projects.",Roadway Departure,"Run-off-road, Head-on",Risky overtaking maneuvers,Safe Roads,Tier 1: Remove severe conflicts,Safer Infrastructure,Reduce cross-median crashes and reduce crash severity.,Improve design and application of barrier and attenuation systems,Not specified,20,High,Current,Lane separation; capacity; conflict point reduction; median safety
treat038m,Install Two-Way Left-Turn Lane (TWLTL),"State DOTs, MPOs, engineering consultants, community associations, business owners.",xx,0.65,CMF584,ABC,Rural,All,5,0.701,CMF10375,All,Urban,Non-intersection,4,"A TWLTL is a center lane on a four-lane undivided road or on a two-lane rural road that allows left turns from both directions, improving safety by separating turning vehicles from through traffic.",Dedicated left-turn lanes at intersections,"Raised medians and turn bays
",Offset left-turn lanes,"1. TWLTLs are intended to reduce midblock conflicts by providing a dedicated lane for left-turning vehicles on four-lane undivided roads. 
2. TWLTLs are most effective in rural areas with higher speeds and wider intersection spacing, where removing turning vehicles from the through lane greatly improves safety.
3. Best suited for corridors with high left-turn volumes, frequent driveways, or minor intersections, where a center turn lane can improve safety.","TWLTLs support the Safe Roads and Safe Road Users elements of the Safe System Approach by separating turning vehicles from through traffic, reducing conflict points and rear-end collisions. They promote predictable movements and reinforce the principle that roads should accommodate human mistakes.","TWLTLs can be applied proactively by identifying corridors with midblock turning conflicts, crash clusters, and high driveway density. They are commonly implemented during corridor restriping or resurfacing projects where widening is not feasible but safety and multimodal improvements are needed.",Roadway Departure,"Head-on, Rear-end, Sideswipe",Lack of separation between opposing traffic,Safe Roads,Tier 4: Increase attentiveness and awareness,Safer Infrastructure,Keep vehicles from encroaching into opposite lane,Provide center two-way left-turn lanes for four- and two-lane roads,Not specified,20,Moderate to High,Proven,TWLTL; center turn lane; four-lane road; left-turn safety; rear-end crash reduction; access management
