CountermeasureID,Countermeasure,AreaType,minCMF,maxCMF,RoadType,minStarQuality,maxStarQuality,min_MinAADT,min_MaxAADT,CMF1 (min),CMF2 (max),CMF3 (mean),Short Description,Countermeasure 1,Countermeasure 2,Countermeasure 3,Key Stakeholder,How and where to apply,Use in a Safe System Approach,Proactive Implementation,Emphasis area,Target Crash,Contributing Factors,SSA Pillars,SSA Hierarchy,AASHTO,NCHRP 500 Series Objective,N500St,Road Type_TBD,Benefit-cost ratio,Service Life,Cost,Countermeasure Staus_OnlyforTool,Keyword_OnlyForTool,id,img
treat020,Change right-turn lane geometry to increase line of sight (intersection level),All,0.558,0.564,All,4,4,,,CMF8496,CMF8497,,"Modifying the geometry of right-turn lanes at intersections to improve the driver?s line of sight is a safety-focused design strategy aimed at reducing crash risk, particularly between vehicles and pedestrians or bicyclists.","Right-Turn on Red (RTOR) Restriction
","Corner Extensions (Curb Extensions/Bulb-outs)
",Curb Radius Reduction,"State and Local Departments of Transportation (DOTs), Traffic Engineers and Planners.","1. Apply at intersections with documented pedestrian or cyclist crashes where drivers make free-flow or channelized right turns without adequate visibility of crosswalks.
2. Use at skewed or high-speed approaches where turning angles and visual obstructions limit drivers? view of cross traffic.
3. The FHWA states ?Installing dedicated right-turn lanes to improve safety at intersections, particularly where significant turning volumes exist or where there's a history of turn-related crashes. They emphasize considering pedestrian and bicyclist safety when adding turn lanes?","This treatment supports the Safe System Approach through Safer Intersections and Safer People principles. It anticipates human error, prioritizes visibility, and encourages behavior that leads to safer speeds and more consistent yielding at crossings","Proactive implementation involves identifying intersections with potential visibility issues or pedestrian conflict risks even in the absence of high crash history and redesigning right-turn lanes to improve sightlines, reduce speeds, and enhance safety. This approach supports Vision Zero goals by anticipating human error and addressing risk factors before severe incidents occur, especially during routine upgrades or signal projects.",Intersection,Right-turn,"Failure to yield, Misjudgment of safe gaps, Limited sight distance",Safe Roads,Tier 4: Increase attentiveness and awareness,Safer Infrastructure,Reduce the frequency and severity of intersection conflicts through geometric design improvements,Provide offset right-turn lanes at intersections,All,,20,Moderate to High,Current,Right-turn geometry; line of sight; turning safety; channelization; intersection visibility; improved angle,11,treat020.PNG
treat021,Change right-turn lane geometry to increase line of sight (approach level),All,0.404,0.41,All,4,4,,,CMF8499,CMF8498,,"This countermeasure involves modifying the geometry of a right-turn lane from the approach level to improve the driver's ability to detect cross traffic, pedestrians, and bicyclists.","Channelized Island Redesign
","Corner Extensions (Curb Extensions/Bulb-outs)
",Curb Radius Reduction,"State and Local Departments of Transportation (DOTs), Traffic Engineers and Planners.","1. Apply at intersections with wide-radius or skewed right-turn lanes where drivers have difficulty detecting crossing pedestrians or bicyclists
2. Use at urban or suburban intersections with frequent turning conflicts, visibility obstructions, or documented right-turn-related crashes.
3. The FHWA states ?Modifying right-turn lane geometry such as sharpening approach angles and reducing radius can significantly improve safety by increasing drivers' line of sight to approaching traffic and pedestrians?","Supports the Safe System Approach by addressing Safer Intersections and Safer Speeds. By improving visibility and turning geometry, this countermeasure helps reduce both crash likelihood and severity in areas where user interaction is frequent and varied.","Proactive implementation involves identifying intersections with wide-radius or skewed right-turn lanes, even before crash patterns emerge, and redesigning them to improve visibility and reduce speeds. This anticipatory strategy aligns with Vision Zero and Safe System principles by addressing latent risks through low-cost geometric modifications during routine resurfacing, signal upgrades, or corridor redesigns, ensuring safer conditions for all users especially pedestrians and cyclists without waiting for severe crashes to occur.",Intersection,Right-turn,"Failure to yield, Misjudgment of safe gaps, Limited sight distance",Safe Roads,Tier 4: Increase attentiveness and awareness,Safer Infrastructure,Reduce the frequency and severity of intersection conflicts through geometric design improvements,Realign intersection approaches to reduce or eliminate intersection skew,All,,20,High,Current,Approach design; visibility; turning lane; enhanced sight distance; vehicle alignment; geometric safety,12,treat021.PNG
treat022,Add 3-inch yellow retroreflective sheeting to signal backplates,Urban,0.85,0.85,Not specified,4,4,,,CMF1410,,,"Backplates with yellow retroreflective borders enhance traffic signal visibility in all lighting conditions, aiding driver recognition and safety, especially during power outages.","High-visibility signal heads
","Advance warning flashers
",Improved intersection lighting,"Adding right-turn lanes on both major-road approaches improves traffic operations by separating turning and through movements, helping to enhance roadway R14capacity and reduce crash risk.Q10:R10","1. Install backplates with retroreflective borders at signalized intersections with high crash rates, poor visibility, complex backgrounds, or high volumes of older drivers or nighttime traffic.
2. Mount backplates directly behind signal heads, ensuring a 1?3 inch yellow retroreflective border per MUTCD guidelines, with proper alignment to maintain visibility and contrast against the surrounding environment.","Adding 3-inch yellow retroreflective borders to signal backplates supports the Safe System Approach by improving signal visibility, enhancing driver awareness, and reducing crash risk in low-visibility conditions.","Proactive implementation involves identifying signalized intersections with visibility concerns, high nighttime crash rates, or frequent power outages. Traffic engineers should prioritize locations where improved signal conspicuity can enhance safety, especially for older drivers or in visually cluttered environments. Installing retroreflective backplates in advance of crash patterns strengthens intersection safety before problems escalate.",Intersection,"Angle, Rear-end, Turning","Reduced visibility, Driver inattention/distraction",Safe Roads,Tier 4: Increase attentiveness and awareness,Safer Infrastructure,Improve Sight Distance and/or Visibility Between Motor Vehicles and Pedestrians,Improve Reflectorization/Conspicuity of Pedestrians ,Not specified,10:1,10,Low,Current,Signal visibility; nighttime driving; visual enhancement; intersection alert,13,treat022.PNG
treat023,Install dynamic signal warning flashers,All,0.745,0.82,Not specified,4,4,,,CMF4200,CMF4201,CMF4199,Dynamic signal warning flashers are active warning devices placed in advance of signalized intersections that flash when the signal ahead is red or about to change.,"Install Dual Red Signal Lenses
","Install Intersection Lighting
",Apply Advance Intersection Warning Signs,Agency maintenance personnel ,"1. This countermeasure is used on high-speed arterial roads or rural highways approaching signalized intersections.
2. It is most effective where visibility of the signal is limited due to curves, grades, or weather conditions, or where crash history indicates frequent rear-end or signal violations.
3. Dynamic flashers should be placed at a calculated distance upstream of the intersection to allow sufficient deceleration time based on approach speed.","This treatment supports Safe System principles of redundancy, predictability, and safe speeds by giving drivers additional time and cues to safely respond to an approaching red signal, especially when visibility or reaction time is limited.","Dynamic signal warning flashers can be implemented proactively based on systemic risk analysis, speed studies, or crash patterns near signalized intersections on high-speed corridors. They can also be added during signal upgrades or corridor ITS projects.",Intersection,"Angle, Rear-end, Turning","Signal non-compliance, Reduced visibility, Driver inattention/distraction",Safe Roads,Tier 4: Increase attentiveness and awareness,Safer Infrastructure,Improve driver awareness of intersections and signal control,Improve visibility of intersections on approach(es) ,Not Specified,143:1,10,Moderate,Current,Flashing warning; advance alert; signal visibility; speed reduction,14,treat023.PNG
treat024,Implement systemic signing and visibility improvements at signalized intersections,All,0.509,0.974,All,4,4,,,CMF8970,CMF8924,CMF8948,"Systemic signing and visibility improvements enhance intersection safety using low-cost, network-wide upgrades to signage, signals, markings, and lighting.","High-Visibility Signal Backplates
","Lighting Improvements at Intersections
",Advance Street Name Signs and Directional Signing,"State and local transportation agencies, Metropolitan Planning Organizations (MPOs), Pedestrian Advocacy Groups and Community Organizations","1. Implement systemic upgrades such as larger signs, high-visibility signal backplates, and improved lighting across multiple intersections based on network-wide crash patterns, not just individual sites.
2. Apply at high-crash intersections, corridors with poor visibility, urban areas, and during resurfacing or routine signal upgrades.
3. The FHWA states that this marking can be used ?Improving the visibility and conspicuity of traffic control devices at intersections is a proven safety countermeasure that can reduce crashes and enhance compliance.?",Supports the Safe System Approach through Safer Intersections and Safer People. These improvements help reduce crash risk by enhancing early recognition of conflict points and traffic control messages. They also improve crash survivability by reducing the likelihood of high-speed violations.,"Proactive implementation involves using systemic safety analysis to identify high-risk intersections before crashes occur. Agencies apply improvements such as enhanced signage, lighting, and signal visibility across networks based on patterns of risk, not just crash history. This forward-looking approach ensures broader safety coverage and optimizes resources by addressing potential hazards early.",Intersection,"Angle, Rear-end, Turning","Reduced visibility, Failure to yield, Driver inattentive/distraction",Safe Roads,Tier 4: Increase attentiveness and awareness,Safer Infrastructure,Improve driver awareness of intersections and signal control,Improve visibility of signals and signs at intersections ,All,,15,Low,Current,Systemic safety; signalized intersections; visibility improvement; signage enhancement; risk-based approach; proactive treatment,15,treat024.PNG
treat025,Implement automated speed enforcement cameras,Urban,0.1,0.982,"All; Not specified; Principal Arterial Other; Principal Arterial Other, Freeways and Expressways",4,4,4000,58000,CMF2926,CMF10663,CMF2924,"Automated Speed Enforcement (ASE) cameras are systems that detect speeding vehicles and capture photographic evidence to support consistent, automated speed limit enforcement.","Dynamic speed feedback signs
","Enhanced police enforcement operations
",Speed limit reduction campaigns,"Traffic engineering departments,
law enforcement agencies","1. ASE cameras are used where speeding is frequent and traditional enforcement is challenging. 
2. Ideal for school zones, work zones, high-crash corridors, and urban arterials.
3. Can be deployed as fixed, mobile, or Point-to-Point systems based on site needs.
4. Effective in both visible and covert operations to maximize speed compliance.","ASE cameras are an effective treatment for implementing the SSA principle of safe speeds. They complement engineering and educational strategies by providing consistent, automated enforcement that deters speeding and reduces crash severity, especially in high-risk areas.","ASE cameras can be implemented proactively in areas with documented speeding issues. Agencies may select locations using speed studies, crash data analysis, or community-reported concerns. A systemic approach can also be used to identify corridors with risk factors such as high pedestrian activity, limited enforcement visibility, or a history of speed-related crashes.",Speeding,Speeding,"Unsafe speed, Aggressive driving behaviors",Safe Speeds,Tier 4: Increase attentiveness and awareness,Improved Safety Management,Improve efficiency and effectiveness of speed enforcement efforts,Implement automated speed enforcement ,Principal Arterial Other,4:1,15,Moderate to High,Proven,Speed compliance; crash deterrence; automated enforcement; behavior change,16,treat025.PNG
treat026,Install automated section speed enforcement system,All,0.427,0.991,"Principal Arterial Other, Freeways and Expressways",4,5,23000,42000,CMF7720,CMF7498,CMF4137,ASE cameras detect vehicles exceeding speed limits and automatically record images as evidence to ensure consistent and impartial enforcement.,"Real-time driver speed display systems
","Targeted high-visibility speed enforcement
",Speed limit re-evaluation and public awareness initiatives,"Traffic engineering departments,
law enforcement agencies","1. ASE cameras are effective in areas with persistent speeding issues or where traditional enforcement is limited or impractical.
2. Common applications include school zones, construction areas, high-crash corridors, and urban arterials.
3. Deployment options include fixed units, mobile systems, or point-to-point configurations, depending on site-specific requirements.","ASE cameras support the Safe System Approach by reinforcing safe speed management. They enhance engineering and education efforts through consistent, automated enforcement that discourages speeding and lowers crash severity—particularly in high-risk locations.","ASE cameras can be proactively deployed in areas with known speeding problems. Agencies may identify sites through speed studies, crash data, or community input. A systemic approach may also target corridors with risk indicators such as high pedestrian volumes, low enforcement visibility, or a history of speed-related crashes.",Speeding,Speeding,"Unsafe speed, Aggressive driving behaviors",Safe Speeds,Tier 4: Increase attentiveness and awareness,Improved Safety Management,Improve efficiency and effectiveness of speed enforcement efforts,Increase penalties for repeat and excessive speeding offenders ,Principal Arterial Other Freeways and Expressways,4.66:1,10,Moderate to High,Current,Automated enforcement; speed compliance; tangents; system-based control,17,treat026.PNG
treat027,Install automated section speed enforcement system on tangents,All,0.72,0.72,"Principal Arterial Other, Freeways and Expressways",4,4,23000,42000,CMF4145,,,"By detecting speed violations and capturing images, ASE technology enables steady and objective enforcement of speed limits without requiring on-site officers.","Radar-based speed feedback displays
","Focused traffic law enforcement
",Community speed limit change initiatives,"Traffic engineering departments,
law enforcement agencies","1. ASE systems are typically implemented in locations with consistent speeding patterns or where manual enforcement is difficult to sustain. 2.They are particularly suitable for environments like school zones, work zones, high-crash locations, and heavily traveled urban streets. 3. Systems can be configured as stationary, vehicle-mounted mobile units, or point-to-point enforcement depending on roadway characteristics and enforcement goals. 4.ASE technology is adaptable for use in both clearly marked and discreet setups to improve speed compliance and overall road safety.",Automated speed enforcement cameras advance the Safe System Approach by promoting safer travel speeds. Their consistent enforcement complements design and education efforts to reduce crash risk and severity.,"Agencies can proactively implement ASE cameras in locations with documented speeding, using data from speed studies, crash histories, or public feedback. A systemic approach may also prioritize corridors with elevated pedestrian activity, limited enforcement presence, or recurring speed-related incidents.",Speeding,Speeding,"Unsafe speed, Aggressive driving behaviors",Safe Speeds,Tier 4: Increase attentiveness and awareness,Improved Safety management,Keep vehicles from encroaching into opposite lane,Provide center two-way left-turn lanes for four- and two-lane roads,Principal Arterial Other Freeways and Expressways,4.66:1,10,Moderate to High,Current,Automated enforcement; long segment control; speed monitoring; behavioral compliance,18,treat027.PNG
treat028,Temporal effects of automated section speed enforcement system - 12 months,All,0.66,0.66,"Principal Arterial Other, Freeways and Expressways",4,4,23000,42000,CMF4151,,,"Automated Speed Enforcement systems monitor vehicle speeds and capture violations through photo documentation, promoting safer roads through continuous speed limit enforcement","Interactive speed monitoring signs
","Intensive speed enforcement patrols
",Speed limit adjustment and education efforts,"Traffic engineering departments,
law enforcement agencies","1. ASE cameras are deployed in areas with frequent speeding where traditional law enforcement presence is limited or resource-intensive.
2. They are most effective in school zones, construction zones, crash-prone corridors, and busy urban roadways with vulnerable users.
3. Deployment types include permanent installations, mobile units, or point-to-point setups tailored to site-specific enforcement needs.
4. These systems work well in both overt (high-visibility) and covert (unmarked) modes to enhance speed limit compliance and reduce risky driving behavior.","ASE technology helps realize the SSA goal of safe speeds by reliably enforcing limits, reinforcing driver accountability, and supporting other safety strategies in high-risk environments","Automated speed enforcement can be applied proactively where speeding is documented or anticipated. Site selection may rely on traffic data, crash trends, or community concerns. A broader systemic method can help flag high-risk corridors with vulnerable road users, low visibility, or previous speed-related crashes.",Speeding,Speeding,"Unsafe speed, Aggressive driving behaviors",Safe Speeds,Tier 4: Increase attentiveness and awareness,Improved Safety management,Improve efficiency and effectiveness of speed enforcement efforts,Use targeted conventional speed enforcement programs at locations known to have speeding-related crashes ,Principal Arterial Other Freeways and Expressways,xx,,Moderate,Current,Evaluation; crash reduction; behavior change; enforcement duration,19,treat028.PNG
treat029,Install automated speed camera at signalized intersection,Urban and Suburban,0.68,1.11,Not specified,4,4,,,CMF6882,CMF6881,CMF6883,Automated speed cameras installed at signalized intersections improve safety and help enforce speed limits.,"Red-light running cameras
","High-visibility signal heads and backplates
",Leading pedestrian intervals,"Traffic Engineering Departments,
Law Enforcement Agencies","1. Install automated speed enforcement cameras at signalized intersections with a documented history of speeding-related crashes.
2. These systems detect speeding vehicles and issue citations by mail, providing continuous and unbiased enforcement.
3. Ideal for multilane approaches to intersections with high pedestrian activity or crash clusters.","By automatically enforcing speed compliance, speed cameras address the root behavioral cause of many urban crashes?unsafe speed?and do so proactively and equitably. Their ability to operate continuously at high-risk locations advances SSA goals by reducing the frequency and severity of crashes due to excess speed.","Use crash and speed data to identify intersections with excessive speeds or repeated violations. Prioritize locations with vulnerable road users (e.g., near schools or transit hubs) or high crash severity. Combine deployment with visible signage and community education campaigns to increase compliance and public support.",Speeding,Speeding,Drivers disregarding traffic signals,Safe Speeds,Tier 4: Increase attentiveness and awareness,Improved Safety management,Improve efficiency and effectiveness of speed enforcement efforts,Implement automated speed enforcement ,Not specified,xx,10,Moderate to High,Proven,Signal enforcement; red-light compliance; speed monitoring; crash deterrent,20,treat029.PNG
treat030,Install rectangular shaped centerline rumble strips,Rural,0.396,0.772,All,4,4,200,8000,CMF5395,CMF5395,CMF5397,Installing midlane rumble strips helps keep vehicles from encroaching on the roadside.,"Enhanced centerline markings
","Centerline buffers or channelization treatment
",Roadside hazard removal,"State DOTs, Highway Safety Engineers, Pavement Designers","1. Install rectangular-shaped centerline rumble strips (CLRS) on undivided two-lane rural highways, particularly in areas with a history or risk of head-on and sideswipe crashes due to lane departure.
2. This shape is typically installed during resurfacing or rehabilitation projects and provides a balance between effective driver alerting and noise control.
3. Studies indicate that rectangular CLRS can reduce crash rates comparably to traditional designs while producing less external noise.
","Rectangular CLRS contribute to the SSA by reducing the risk of severe lane departure crashes. They maintain effective tactile and audible warnings while mitigating community concerns about roadway noise, allowing for broader deployment across rural networks.",Agencies should prioritize rectangular CLRS on corridors with crash trends involving centerline encroachment or in areas with public opposition to traditional (louder) rumble strips. The Minnesota Department of Transportation found that rectangular designs performed favorably in crash reduction and were more acceptable to nearby residents.,Roadway departure,"Single Vehicle, Head-on, Opposite direction sideswipe","Reduced visibility, Driver inattention/distraction",Safe Roads,Tier 4: Increase attentiveness and awareness,Safer Infrastructure,Keep vehicles from encroaching on the roadside,Install midlane rumble strips,All,21.3:1,10,Low,Current,Driver alertness; noise strip; run-off prevention; visibility aid,21,treat030.PNG
treat031,Install rectangular rapid flashing beacon (RRFB),All,0.27,1.18,Not specified,4,4,,,CMF11169,CMF11171,CMF11158,Rectangular Rapid Flashing Beacons (RRFBs) are user-activated amber LED lights that flash in a rectangular pattern to alert drivers to the presence of pedestrians at unsignalized crossings.,"Install Pedestrian Hybrid Beacons
","Add pedestrian refuge islands
",Advance yield lines and signage,"Local and state transportation agencies
Pedestrian safety planners","1. RRFBs are ideal for mid-block crossings or uncontrolled intersections with moderate to high pedestrian activity.
2. They should be installed at marked crosswalks where pedestrian visibility or yielding behavior is a concern.
3. According to FHWA guidelines, they must comply with MUTCD interim approval and can be paired with high-visibility crosswalk markings and signage.","Supports Safer Road Users and Safer Roads by increasing driver awareness and encouraging yielding behavior. RRFBs provide timely, visible cues to drivers, reducing the risk of pedestrian crashes, especially in multilane or high-speed corridors.","Agencies can identify high-risk pedestrian crossings using crash data, speed profiles, and land use factors (e.g., near schools, transit stops, or retail areas). RRFBs can be deployed systemically as a proactive low-cost pedestrian safety enhancement, especially in urban corridors or where traditional signals are not warranted.",Pedestrian and Bicyclists,Crossing-related,Risky crossing behavior,Safe Road Users,Tier 4: Increase attentiveness and awareness,Safer Vulnerable Users,Reduce Pedestrian Exposure to Vehicular Traffic,Install or Upgrade Traffic and Pedestrian Signals,Not specified,6.5:1,10,Moderate to High,Current,RRFB; pedestrian crossing; flashing alert; driver yield compliance; crosswalk visibility; low-cost beacon,22,treat031.PNG
treat032,Conversion of signalized intersection into single- or multi-lane roundabout,Urban,0.26,1.92,Not specified,4,4,,,CMF212,CMF5523,CMF209,Convert signalized intersections to roundabouts to reduce severe crashes and improve flow at high-crash or congested locations.,"High-visibility signage and lighting 
",Access Management ,Gateway treatments,"State DOT, Local enforcement, active road users","1. Suitable for both urban and rural areas under various traffic conditions 
2. Useful for speed management and transitions at interchanges or high-speed rural roads 
3. MUTCD recommends roundabouts as a proven safety countermeasure for intersection control, emphasizing appropriate signage, pavement markings, and geometric design to ensure safe and efficient operations.","Roundabouts lower the kinetic energy involved in a car crash by removing intersection crossing conflict sites, reducing vehicle speeds, and adjusting impact angles. Furthermore, roundabouts may have pedestrian refuge areas and only permit one lane of traffic at a time, limiting the amount of time that pedestrians are exposed to incoming automobiles. ","Identify high-crash signalized intersections or locations with delay and speed issues, especially near schools, interchanges, or rural highways, and evaluate their suitability for roundabout conversion based on traffic volume, geometry, and crash history before problems escalate.",Intersection,"Angle, Rear-end, Turning","Limited visibility, Failure to yield",Safe Roads,Tier 1: Remove severe conflicts,Safer Infrastructure,Reduce frequency and severity of intersection conflicts through geometric improvements,Construct special solutions ,Not specified,1:1,20,High,Proven,Roundabout; eliminate crossing conflicts; reduce crash severity; improve flow,23,treat032.PNG
